dim,text
outcome,明確な目標が設定されると、集中しやすい。
outcome,数字のKPIがあると行動が加速する。
outcome,締切のあるタスクで最も力を発揮する。
outcome,成果物がない活動には動機づけが弱い。
outcome,小さな達成を積み上げることが快感だ。
outcome,評価や実績で信頼を得たい。
relation,場の安心・信頼が高いほどパフォーマンスが上がる。
relation,摩擦を感じると、まず関係調整を優先する。
relation,承認やフィードバックが行動の燃料になる。
relation,合意形成に時間をかける価値を感じる。
relation,人の表情や空気の変化に敏感だ。
relation,嫌われない選択を取りがちだ。
process,手順を設計したり最適化するのが楽しい。
process,美しいプロセス設計に快感を覚える。
process,再現性やテンプレート化を重視する。
process,A/Bテストなど小実験を回すのが好きだ。
process,仕組み化は成果以上に重要だと感じることがある。
process,チェックリストや標準化ドキュメントをよく作る。
value,“なぜやるのか”の意味がないと動けない。
value,理念や美学の整合性を重視する。
value,長期的な物語やビジョンに価値を置く。
value,概念や思想を磨く時間が必要だ。
value,本質の理解が進むとエネルギーが湧く。
value,結論よりも意味の深さを優先したい。
